Institution,CatalogNo,Sex,Age,Year,Month,Day,Long,Lat,Genus,Species,Mass.g,bcpic,bio10,bio11,bio12,bio16,bio17,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5
CAS,85555,Female,Adult,1987,7,3,-122.9438,38.48161,Picoides,villosus,51.9,5,182,85,1164,638,13,-0.85375730787871,0.383146113205953,-1.52472416185924,-0.171013726989171,0.0199974960382097
CAS,57318,Female,Adult,1939,11,5,-123.3072,38.89795,Picoides,villosus,62.5,5,175,72,1214,645,15,-0.811423330534911,0.163348646884714,-1.55897780821072,-0.230580233533307,-0.019781103309756
MCZ,282832,Female,Unknown,1933,5,29,-128.0085754,51.5514589,Picoides,villosus,74.39,5,122,29,2785,1058,343,-4.00889668871563,-3.62536521969633,-0.119884642018352,0.00781803628708588,-0.00887294376547554
MCZ,282834,Female,Unknown,1934,9,4,-128.0085754,51.5514589,Picoides,villosus,73,5,122,29,2785,1058,343,-4.00889668871563,-3.62536521969633,-0.119884642018352,0.00781803628708588,-0.00887294376547554
MCZ,282829,Female,Unknown,1933,4,24,-126.75,52.3833008,Picoides,villosus,74.2,5,141,-15,1595,656,183,-1.23500533535115,-1.88333222521784,-0.296441946945045,-0.113034694663544,0.0611147889646806
MVZ,179741,Female,Unknown,2000,10,6,-123.8116667,45.245,Picoides,villosus,64.5,5,141,46,2655,1269,161,-3.75907495471319,-2.39853811777021,-1.84134986904517,-1.01552400215649,0.10657152123821
MVZ,124646,Male,Adult,1951,11,2,-122.1128861,40.8288238,Picoides,villosus,75.8,5,233,63,1572,773,42,-1.84602077612749,0.622137901812266,-0.937935920936854,-1.1101958773305,-0.037932807010336
MVZ,141227,Male,Adult,1959,4,14,-149.7972222222,61.0561111111,Picoides,villosus,96.6,5,133,-87,489,207,62,1.70832144721612,-0.922163485095194,-0.275698549049705,-0.00582982158020287,0.0251540071900223
MVZ,118506,Male,Adult,1949,8,20,-123.8193291,41.1515112,Picoides,villosus,76.8,5,163,48,1505,757,47,-1.25566114023896,-0.538429892625626,-1.56582405128682,-0.461991777481118,-0.0160778159340956
MVZ,42100,Male,Adult,1921,6,7,-127.6667,55.25,Picoides,villosus,87,5,147,-68,568,186,80,1.41118751070068,-0.716109677459113,-0.00877451198615206,0.0800691465192369,-0.0692936842800018
MVZ,61877,Male,Adult,1932,5,11,-123.4853,40.34377,Picoides,villosus,70.2,5,167,34,1426,732,37,-1.03511856498625,-0.443589074863682,-1.50996558502724,-0.588814689456023,0.00114919418210871
MVZ,67828,Male,Adult,1935,6,29,-123.5434292,41.9318434,Picoides,villosus,73.6,5,137,9,1216,606,58,-0.341111738019356,-0.962797433709323,-1.33757003788025,-0.143327408454742,0.0186489132626686
MVZ,67830,Male,Adult,1935,7,7,-123.5434292,41.9318434,Picoides,villosus,73.9,5,137,9,1216,606,58,-0.341111738019356,-0.962797433709323,-1.33757003788025,-0.143327408454742,0.0186489132626686
MVZ,73501,Male,Adult,1938,6,11,-122.9107,44.2042,Picoides,villosus,69.2,5,173,45,1448,676,99,-1.29947933642599,-0.575118701584409,-0.867884010335543,-0.240714422061691,0.0303263099709641
MVZ,73502,Male,Adult,1938,6,10,-122.9107,44.2042,Picoides,villosus,77.4,5,173,45,1448,676,99,-1.29947933642599,-0.575118701584409,-0.867884010335543,-0.240714422061691,0.0303263099709641
MVZ,73503,Male,Adult,1938,6,10,-122.9107,44.2042,Picoides,villosus,77.5,5,173,45,1448,676,99,-1.29947933642599,-0.575118701584409,-0.867884010335543,-0.240714422061691,0.0303263099709641
MVZ,73513,Male,Adult,1938,6,28,-121.6154,44.0583,Picoides,villosus,74.8,5,106,-41,1272,596,106,-0.117291120190572,-1.98139261688705,-1.09630122054626,-0.0631946972746479,0.0736726908778954
MVZ,80477,Male,Adult,1940,8,22,-123.8761,46.1339,Picoides,villosus,79.2,5,152,61,1945,880,148,-2.36367412680263,-1.45567388537669,-1.13797219079909,-0.201701533015421,0.0255291415307343
MVZ,83422,Male,Adult,1941,5,22,-123.9214,45.9354,Picoides,villosus,72.2,5,145,61,2179,990,160,-2.82411439492027,-1.8192134550427,-1.32637957401815,-0.338418616081343,0.027682568279978
MVZ,83437,Male,Adult,1941,6,9,-122.0024912,44.502946,Picoides,villosus,73.8,5,136,-10,1939,931,130,-1.90704425690346,-2.02983221925855,-1.31798228925302,-0.769474597022474,0.120449730822476
MVZ,83450,Male,Adult,1941,6,18,-121.7864,44.8072,Picoides,villosus,71.7,5,111,-30,1991,931,148,-1.77097146690443,-2.64674343701893,-1.3773471487638,-0.633677664840418,0.102169755904301
MVZ,84398,Male,Adult,1941,12,27,-124.1530252,41.104244,Picoides,villosus,69.1,5,144,76,1475,720,48,-1.18688656395751,-0.650939717219939,-1.7859541562997,0.029112975623525,-0.0893990277275842
MVZ,84401,Male,Adult,1942,1,2,-124.1530252,41.104244,Picoides,villosus,69.6,5,144,76,1475,720,48,-1.18688656395751,-0.650939717219939,-1.7859541562997,0.029112975623525,-0.0893990277275842
MVZ,84407,Male,Adult,1942,1,18,-123.47623,40.4313,Picoides,villosus,70.5,5,168,35,1407,722,37,-1.00769781037605,-0.40609236901725,-1.48325690473266,-0.568390674873599,0.0012917886188534
MVZ,87473,Male,Adult,1942,9,7,-123.88759,40.77914,Picoides,villosus,70.5,5,170,75,1279,642,34,-0.933252417092129,-0.0253614170364481,-1.46538949198664,-0.102584453179796,-0.0552073146002165
MVZ,87476,Male,Adult,1942,9,25,-123.34811,40.69934,Picoides,villosus,72.5,5,169,29,1209,613,40,-0.578141552894321,-0.263359139112794,-1.21998433313761,-0.377715019663885,0.00114044051499951
MVZ,95555,Male,Adult,1946,6,2,-123.0218589,40.2528009,Picoides,villosus,73.6,5,150,16,1300,643,42,-0.548555660495602,-0.708035311179688,-1.42714960523605,-0.366954229806995,-0.0429720241566184
MVZ,95558,Male,Adult,1946,6,13,-124.02139,41.36444,Picoides,villosus,72.1,5,151,73,1705,835,56,-1.70752375150101,-0.791988935862157,-1.85564442478367,-0.29413533909167,-0.0718524848151244
MVZ,118504,Male,Adult,1949,9,8,-123.1358556,40.315747,Picoides,villosus,68,5,154,19,1295,646,41,-0.586671101630086,-0.623603649785335,-1.40669886986309,-0.388584900613202,-0.0309865892840279
MVZ,141229,Male,Adult,1959,4,15,-149.7972222222,61.0561111111,Picoides,villosus,100.9,5,133,-87,489,207,62,1.70832144721612,-0.922163485095194,-0.275698549049705,-0.00582982158020287,0.0251540071900223
MVZ,141232,Male,Adult,1959,4,22,-149.7972222222,61.0561111111,Picoides,villosus,90.3,5,133,-87,489,207,62,1.70832144721612,-0.922163485095194,-0.275698549049705,-0.00582982158020287,0.0251540071900223
MVZ,152578,Male,Adult,1964,6,24,-122.2900123,42.7531053,Picoides,villosus,73,5,124,-22,1285,622,79,-0.282622882309154,-1.48498545059858,-1.23625583146565,-0.236745237821138,0.0397616821948623
